ID,product_name,inventory_sku,usage,unit,ingredient_category
1,Double Shot Espresso,CF-BEAN,18,g,
2,Piccolo Latte,CF-BEAN,18,g,
3,Piccolo Latte,MLK-FARM,100,g,
4,Americano,CF_BEAN,18,g,
5,Flat White/Latte/Cappucino,CF-BEAN,18,g,
6,Flat White/Latte/Cappucino,MLK-FARM,155,g,
7,Flavoured Latte,CF-BEAN,18,g,
8,Flavoured Latte,MLK-FARM,155,g,
9,Flavoured Latte,,15,g,Flavour Syrup
10,Mocha,CF-BEAN,18,g,
11,Mocha,MLK-FARM,155,g,
12,Mocha,CHOC-545,20,g,
13,Orange Mocha,ORANGE-JUICE,120,g,
14,Orange Mocha,SYR-SIMPLE,5,g,
15,Orange Mocha,CHOC-545,25,g,
16,Orange Mocha,CF-BEAN,18,g,
17,Orange Mocha,ORANGE-DRIED,0.5,pc,
18,Orange Americano,CF-BEAN,18,g,
19,Orange Americano,ORANGE-JUICE,120,g,
20,Orange Americano,SYR-SIMPLE,5,g,
21,Orange Americano,ORANGE-DRIED,0.5,pc,
22,Spanish Latte,MLK-CDENSED,25,g,
23,Spanish Latte,MLK-FARM,120,g,
24,Spanish Latte,CF-BEAN,18,g,
25,Tiramisu Latte,MASCARPONE,30,g,
26,Tiramisu Latte,LADY-FINGER,1,pc,
27,Tiramisu Latte,CF-BEAN,18,g,
28,Tiramisu Latte,SYR-SIMPLE,5,g,
29,Tiramisu Latte,MLK-FARM,120,g,
30,Tiramisu Latte,COCOA-POW,0.05,g,
31,Jing Earl Grey (unwrapped),EARL-GREY,1,TB,
32,Jing English Breakfast (unwrapped),ENG-BREAKFAST,1,TB,
33,Jing Jade Sword (unwrapped),JADE-SWORD,1,TB,
34,Jing Chamomile (wrapped),CHAMOMILE,1,TB,
35,Jing Blackcurrant & Hibiscus (wrapped),BLKCURRANT-HIBCUS,1,TB,
36,Signature Chocolate,CHOC-545,15,g,
37,Signature Chocolate,CHOC-705,15,g,
38,Signature Chocolate,MLK-FARM,120,g,
39,Single Origin Chocolate Triang/Kelantan ,,30,g,SO Chocolate
40,Single Origin Chocolate Triang/Kelantan ,MLK-FARM,130,g,
41,Single Origin Chocolate Triang/Kelantan ,COCOA-POW,0.05,g,
42,Matcha Latte ,MATCHA-POW,5,g,
43,Matcha Latte ,SYR-SIMPLE,5,g,
44,Matcha Latte ,MLK-FARM,155,g,
45,Strawberry Matcha Latte,MATCHA-POW,5,g,
46,Strawberry Matcha Latte,SYR-SIMPLE,5,g,
47,Strawberry Matcha Latte,MLK-FARM,120,g,
48,Strawberry Matcha Latte,STRAWBERRY-COMPOTE,30,g,
49,Strawberry Matcha Latte,SYR-STRAWBERRY,15,g,
50,Babycinno,MLK-FARM,250,g,
51,Flavoured Babycinno,MLK-FARM,250,g,
52,Flavoured Babycinno,,15,g,Flavour Syrup
53,Espresso Tonic,CF-BEAN,18,g,
54,Espresso Tonic,SODA-WATER,0.22,g,
55,Espresso Tonic,LEMON-JUICE,20,g,
56,Espresso Tonic,LEMON-WEDGE,1,nos,
57,Fresh Orange Juice,ORANGE,2.5,nos,
58,Peach Mint Tea,BLACKTEA-BASE,160,g,
59,Peach Mint Tea,LIME-JUICE,20,g,
60,Peach Mint Tea,MINT,5,g,
61,Peach Mint Tea,SYR-PEACH,1,Slice,
62,Tropical Pine Sunrise,SYR-GRENADINE,15,g,
63,Tropical Pine Sunrise,SYR-PINEAPPLE,30,g,
64,Tropical Pine Sunrise,SYR-PINEAPPLE,120,g,
65,Tropical Pine Sunrise,SODA-WATER,1,nos,
66,Tropical Pine Sunrise,ORANGE-DRIED,0.5,pc,
67,Tropical Pine Sunrise,MINT,1,nos,
68,Cosmic Lemonade,BUTTERFLY-FLOWER-SYR,40,g,
69,Cosmic Lemonade,LIME-JUICE,40,g,
70,Cosmic Lemonade,SYR-YUZU,25,g,
71,Cosmic Lemonade,SYR-HONEY,5,g,
72,Cosmic Lemonade,SYR-SIMPLE,10,g,
73,Cosmic Lemonade,SODA-WATER,1,nos,
74,Affogato,CF-BEAN,18,g,
75,Affogato,GELATO ,120,g,
76,Oat Milk,Oat-milk,155,g,
77,Flavoured Syrups ,Flavoured-Syrups ,15,g,
78,Double Shot Espresso ,CF-BEAN,18,g,
79,Strawberry Compote,LEMON,90,g,
80,Strawberry Compote,STRAWBERRY,1000,g,
81,Strawberry Compote,SUGAR,880,g,
82,BUTTERFLY-FLOWER-SYR,BUTTERFLY-PEA-FLOWER,7,g,
83,BUTTERFLY-FLOWER-SYR,SUGAR,200,g,
84,BLACKTEA-BASE,TEA-CEYLON,75,g,
85,BLACKTEA-BASE,BROWN-SUGAR,430,g,
